"Four-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,"Graduates",
"District","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District",29,17,58.6
"Ansonia School District",188,130,69.1
"Avon School District",254,243,95.7
"Berlin School District",261,245,93.9
"Bethel School District",250,232,92.8
"Bloomfield School District",187,139,74.3
"Bolton School District",74,70,94.6
"Branford School District",284,266,93.7
"Bridgeport School District",1437,869,60.5
"Bristol School District",709,544,76.7
"Brookfield School District",265,251,94.7
"Canton School District",120,113,94.2
"Capitol Region Education Council",299,250,83.6
"Cheshire School District",375,356,94.9
"Clinton School District",145,134,92.4
"Colchester School District",250,232,92.8
"Common Ground High School District",38,33,86.8
"Connecticut Technical High School System",2343,2189,93.4
"Coventry School District",153,138,90.2
"Cromwell School District",170,159,93.5
"Danbury School District",758,585,77.2
"Darien School District",327,313,95.7
"Derby School District",125,89,71.2
"East Granby School District",76,73,96.1
"East Haddam School District",97,89,91.8
"East Hampton School District",139,127,91.4
"East Hartford School District",598,476,79.6
"East Haven School District",300,255,85.0
"East Lyme School District",325,313,96.3
"East Windsor School District",93,76,81.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",59,44,74.6
"Ellington School District",182,172,94.5
"Enfield School District",525,427,81.3
"Explorations District",34,18,52.9
"Fairfield School District",656,612,93.3
"Farmington School District",338,320,94.7
"Glastonbury School District",551,531,96.4
"Granby School District",194,188,96.9
"Greenwich School District",632,597,94.5
"Griswold School District",200,162,81.0
"Groton School District",336,271,80.7
"Guilford School District",271,256,94.5
"Hamden School District",586,488,83.3
"Hartford School District",1603,1013,63.2
"Killingly School District",198,140,70.7
"Lebanon School District",160,148,92.5
"Ledyard School District",235,211,89.8
"Lisbon School District","*","*","*"
"Litchfield School District",95,89,93.7
"Madison School District",317,306,96.5
"Manchester School District",534,380,71.2
"Meriden School District",630,440,69.8
"Middletown School District",350,269,76.9
"Milford School District",492,432,87.8
"Monroe School District",367,356,97.0
"Montville School District",205,174,84.9
"Naugatuck School District",370,306,82.7
"New Britain School District",758,389,51.3
"New Canaan School District",311,303,97.4
"New Fairfield School District",241,219,90.9
"New Haven School District",1450,927,63.9
"New London School District",262,164,62.6
"New Milford School District",403,351,87.1
"Newington School District",413,346,83.8
"Newtown School District",446,418,93.7
"North Branford School District",195,183,93.8
"North Haven School District",306,268,87.6
"North Stonington School District",67,60,89.6
"Norwalk School District",899,757,84.2
"Norwich Free Academy District",637,518,81.3
"Norwich School District",29,7,24.1
"Old Saybrook School District",123,114,92.7
"Oxford School District",155,147,94.8
"Plainfield School District",230,197,85.7
"Plainville School District",235,207,88.1
"Plymouth School District",140,126,90.0
"Portland School District",97,81,83.5
"Putnam School District",75,59,78.7
"Regional School District 01",138,115,83.3
"Regional School District 04",171,151,88.3
"Regional School District 05",409,378,92.4
"Regional School District 06",104,92,88.5
"Regional School District 07",208,195,93.8
"Regional School District 08",267,226,84.6
"Regional School District 09",220,210,95.5
"Regional School District 10",177,169,95.5
"Regional School District 11",38,27,71.1
"Regional School District 12",93,80,86.0
"Regional School District 13",141,131,92.9
"Regional School District 14",218,207,95.0
"Regional School District 15",390,357,91.5
"Regional School District 16",196,173,88.3
"Regional School District 17",181,168,92.8
"Regional School District 18",135,131,97.0
"Regional School District 19",284,235,82.7
"Ridgefield School District",434,417,96.1
"Rocky Hill School District",177,161,91.0
"Seymour School District",189,157,83.1
"Shelton School District",401,352,87.8
"Simsbury School District",358,340,95.0
"Somers School District",145,137,94.5
"South Windsor School District",425,386,90.8
"Southington School District",547,495,90.5
"Stafford School District",135,102,75.6
"Stamford Academy District",55,20,36.4
"Stamford School District",1189,1014,85.3
"Stonington School District",212,198,93.4
"Stratford School District",581,512,88.1
"Suffield School District",215,204,94.9
"The Bridge Academy District",28,24,85.7
"The Gilbert School District",75,58,77.3
"Thomaston School District",105,96,91.4
"Thompson School District",95,84,88.4
"Tolland School District",224,207,92.4
"Torrington School District",283,219,77.4
"Trumbull School District",503,492,97.8
"Unified School District #1",555,8,1.4
"Unified School District #2",50,15,30.0
"Vernon School District",290,237,81.7
"Wallingford School District",561,488,87.0
"Waterbury School District",1309,860,65.7
"Waterford School District",272,248,91.2
"Watertown School District",248,217,87.5
"West Hartford School District",829,749,90.3
"West Haven School District",460,313,68.0
"Westbrook School District",75,71,94.7
"Weston School District",195,192,98.5
"Westport School District",475,459,96.6
"Wethersfield School District",305,278,91.1
"Wilton School District",306,299,97.7
"Windham School District",267,163,61.0
"Windsor Locks School District",135,115,85.2
"Windsor School District",353,293,83.0
"Wolcott School District",226,209,92.5
"Woodstock Academy District",299,282,94.3

