"Four-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,"Non-Graduates",,,
"District","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",23,"*","*","*","*"
"Ansonia School District",212,25,11.8,27,12.7
"Avon School District",263,"*","*","*","*"
"Berlin School District",262,"*","*","*","*"
"Bethel School District",234,"*","*","*","*"
"Bloomfield School District",165,9,5.5,10,6.1
"Bolton School District",81,"*","*","*","*"
"Branford School District",271,9,3.3,12,4.4
"Bridgeport School District",1229,135,11.0,267,21.7
"Bristol School District",635,54,8.5,74,11.7
"Brookfield School District",242,"*","*","*","*"
"Canton School District",124,"*","*","*","*"
"Capitol Region Education Council",246,11,4.5,26,10.6
"Cheshire School District",384,16,4.2,6,1.6
"Clinton School District",145,10,6.9,7,4.8
"Colchester School District",253,"*","*","*","*"
"Common Ground High School District",38,"*","*","*","*"
"Connecticut Technical High School System",2483,11,0.4,80,3.2
"Coventry School District",138,"*","*","*","*"
"Cromwell School District",145,"*","*","*","*"
"Danbury School District",779,101,13.0,90,11.6
"Darien School District",316,"*","*","*","*"
"Department of Mental Health and Addiction Services","*","*","*","*","*"
"Derby School District",91,20,22.0,12,13.2
"East Granby School District",71,"*","*","*","*"
"East Haddam School District",100,"*","*","*","*"
"East Hampton School District",132,"*","*","*","*"
"East Hartford School District",556,45,8.1,78,14.0
"East Haven School District",246,19,7.7,45,18.3
"East Lyme School District",311,"*","*","*","*"
"East Windsor School District",96,10,10.4,7,7.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",69,6,8.7,9,13.0
"Ellington School District",198,9,4.5,7,3.5
"Elm City College Preparatory School District",13,"*","*","*","*"
"Enfield School District",445,20,4.5,36,8.1
"Explorations District",32,"*","*","*","*"
"Fairfield School District",708,37,5.2,15,2.1
"Farmington School District",326,10,3.1,6,1.8
"Glastonbury School District",552,8,1.4,7,1.3
"Granby School District",197,"*","*","*","*"
"Greenwich School District",691,26,3.8,10,1.4
"Griswold School District",170,9,5.3,13,7.6
"Groton School District",327,18,5.5,40,12.2
"Guilford School District",281,6,2.1,13,4.6
"Hamden School District",455,43,9.5,24,5.3
"Hartford School District",1418,93,6.6,311,21.9
"Killingly School District",223,25,11.2,31,13.9
"Learn",43,"*","*","*","*"
"Lebanon School District",118,"*","*","*","*"
"Ledyard School District",232,13,5.6,11,4.7
"Lisbon School District",6,"*","*","*","*"
"Litchfield School District",88,"*","*","*","*"
"Madison School District",317,"*","*","*","*"
"Manchester School District",479,50,10.4,71,14.8
"Meriden School District",639,59,9.2,130,20.3
"Middletown School District",379,28,7.4,44,11.6
"Milford School District",525,62,11.8,17,3.2
"Monroe School District",309,"*","*","*","*"
"Montville School District",188,12,6.4,15,8.0
"Naugatuck School District",335,34,10.1,40,11.9
"New Britain School District",654,91,13.9,165,25.2
"New Canaan School District",339,"*","*","*","*"
"New Fairfield School District",258,"*","*","*","*"
"New Haven School District",1315,103,7.8,273,20.8
"New London School District",257,27,10.5,65,25.3
"New Milford School District",392,19,4.8,33,8.4
"Newington School District",376,16,4.3,21,5.6
"Newtown School District",471,"*","*","*","*"
"North Branford School District",170,"*","*","*","*"
"North Haven School District",314,18,5.7,21,6.7
"North Stonington School District",48,"*","*","*","*"
"Norwalk School District",780,35,4.5,84,10.8
"Norwich Free Academy District",615,53,8.6,63,10.2
"Old Saybrook School District",139,"*","*","*","*"
"Oxford School District",155,"*","*","*","*"
"Plainfield School District",203,19,9.4,12,5.9
"Plainville School District",206,11,5.3,12,5.8
"Plymouth School District",128,10,7.8,9,7.0
"Portland School District",93,"*","*","*","*"
"Putnam School District",96,16,16.7,6,6.3
"Regional School District 01",109,"*","*","*","*"
"Regional School District 04",163,"*","*","*","*"
"Regional School District 05",396,7,1.8,9,2.3
"Regional School District 06",97,"*","*","*","*"
"Regional School District 07",194,"*","*","*","*"
"Regional School District 08",285,14,4.9,9,3.2
"Regional School District 09",240,"*","*","*","*"
"Regional School District 10",198,9,4.5,6,3.0
"Regional School District 11",44,"*","*","*","*"
"Regional School District 12",91,"*","*","*","*"
"Regional School District 13",153,"*","*","*","*"
"Regional School District 14",201,"*","*","*","*"
"Regional School District 15",320,"*","*","*","*"
"Regional School District 16",186,9,4.8,11,5.9
"Regional School District 17",164,"*","*","*","*"
"Regional School District 18",114,"*","*","*","*"
"Regional School District 19",316,26,8.2,13,4.1
"Ridgefield School District",414,"*","*","*","*"
"Rocky Hill School District",177,11,6.2,7,4.0
"Seymour School District",181,13,7.2,13,7.2
"Shelton School District",394,22,5.6,17,4.3
"Simsbury School District",400,"*","*","*","*"
"Somers School District",146,"*","*","*","*"
"South Windsor School District",386,12,3.1,10,2.6
"Southington School District",490,23,4.7,21,4.3
"Stafford School District",129,7,5.4,10,7.8
"Stamford Academy District",37,21,56.8,6,16.2
"Stamford School District",1218,55,4.5,80,6.6
"Stonington School District",202,"*","*","*","*"
"Stratford School District",569,31,5.4,34,6.0
"Suffield School District",220,8,3.6,8,3.6
"The Bridge Academy District",36,"*","*","*","*"
"The Gilbert School District",94,9,9.6,14,14.9
"Thomaston School District",80,"*","*","*","*"
"Thompson School District",87,"*","*","*","*"
"Tolland School District",244,"*","*","*","*"
"Torrington School District",278,25,9.0,18,6.5
"Trumbull School District",550,6,1.1,6,1.1
"Unified School District #1",372,"*","*",238,64.0
"Unified School District #2",63,15,23.8,36,57.1
"Vernon School District",242,14,5.8,31,12.8
"Wallingford School District",535,22,4.1,27,5.0
"Waterbury School District",1300,64,4.9,372,28.6
"Waterford School District",243,10,4.1,11,4.5
"Watertown School District",272,16,5.9,20,7.4
"West Hartford School District",835,24,2.9,33,4.0
"West Haven School District",439,34,7.7,99,22.6
"Westbrook School District",78,"*","*","*","*"
"Weston School District",208,"*","*","*","*"
"Westport School District",466,"*","*","*","*"
"Wethersfield School District",270,14,5.2,12,4.4
"Wilton School District",326,"*","*","*","*"
"Windham School District",198,20,10.1,29,14.6
"Windsor Locks School District",140,"*","*","*","*"
"Windsor School District",355,35,9.9,31,8.7
"Wolcott School District",221,6,2.7,7,3.2
"Woodstock Academy District",284,"*","*","*","*"

